id_cliente,nome_cliente,estado,email,id_venda,id_produto,data_venda,quantidade,preco_unitario,desconto_percent,frete,data_venda_formatada,nome_produto,categoria,preco_custo
7,Carlos José,RJ,cliente7@email.com,876.0,13.0,2026-05-25,2.0,608.85,0.0,28.51,25/05/2026,Fone,Eletrônicos,489.55
8,João Silva,RJ,cliente8@email.com,454.0,39.0,2025-03-29,3.0,40.75,5.0,31.23,29/03/2025,Carregador,Eletrônicos,137.9
8,João Silva,RJ,cliente8@email.com,872.0,12.0,2026-05-21,3.0,663.25,0.0,45.58,21/05/2026,Carregador,Eletrônicos,296.99
8,João Silva,RJ,cliente8@email.com,933.0,32.0,2026-07-21,4.0,275.42,5.0,11.54,21/07/2026,Notebook,Eletrônicos,168.72
8,João Silva,RJ,cliente8@email.com,1060.0,62.0,2026-11-25,3.0,429.9,0.0,28.98,25/11/2026,Calça Jeans,Vestuário,315.81
8,João Silva,RJ,cliente8@email.com,1154.0,17.0,2027-03-29,100.0,481.56,10.0,49.76,29/03/2027,Calça Jeans,Vestuário,178.29
9,Ana Paula,RJ,cliente9@email.com,76.0,72.0,2024-03-16,1.0,68.53,0.0,35.9,16/03/2024,Romance Premium,Livros,167.44
9,Ana Paula,RJ,cliente9@email.com,138.0,1.0,2024-05-17,2.0,32.27,0.0,20.56,17/05/2024,Romance Pro,Livros,13.95
9,Ana Paula,RJ,cliente9@email.com,378.0,47.0,2026-01-12,4.0,192.93,0.0,23.67,12/01/2026,Mesa,Moveis,337.22
9,Ana Paula,RJ,cliente9@email.com,558.0,35.0,2025-07-11,10.0,30.02,0.0,3.26,11/07/2025,Carregador,Eletrônicos,490.26
9,Ana Paula,RJ,cliente9@email.com,692.0,9.0,2026-01-21,4.0,533.04,0.0,28.34,21/01/2026,Feijão,Alimentos,256.86
9,Ana Paula,RJ,cliente9@email.com,884.0,28.0,2026-06-02,4.0,103.32,5.0,23.21,02/06/2026,Ficção Científica Pro,Livros,143.38
11,João Silva,ES,cliente11@email.com,716.0,72.0,2025-12-16,8.0,563.46,0.0,23.06,16/12/2025,Romance Premium,Livros,167.44
11,João Silva,ES,cliente11@email.com,889.0,47.0,2026-06-07,0.0,522.84,10.0,5.77,07/06/2026,Mesa,Moveis,337.22
12,Maria Souza,SP,cliente12@email.com,305.0,35.0,2024-11-30,3.0,46.97,0.0,16.36,30/11/2024,Carregador,Eletrônicos,490.26
12,Maria Souza,SP,cliente12@email.com,394.0,21.0,2025-01-28,0.0,598.08,0.0,18.81,28/01/2025,Cadeiranan,Livros,118.94
12,Maria Souza,SP,cliente12@email.com,504.0,66.0,2025-05-18,1.0,545.93,5.0,6.27,18/05/2025,Feijão Premium,Alimentos,30.13
12,Maria Souza,SP,cliente12@email.com,721.0,25.0,2025-12-21,3.0,141.65,0.0,26.96,21/12/2025,Carregador,Eletrônicos,26.58
12,Maria Souza,SP,cliente12@email.com,992.0,8.0,2026-09-18,200.0,200.24,0.0,36.31,18/09/2026,Notebook,Eletrônicos,273.56
13,Maria Souza,SP,cliente13@email.com,70.0,33.0,2024-03-10,6.0,187.43,20.0,31.05,10/03/2024,Calça Jeans,Vestuário,278.62
13,Maria Souza,SP,cliente13@email.com,84.0,68.0,2024-03-24,4.0,245.16,0.0,12.53,24/03/2024,Cadeira,Moveis,18.67
13,Maria Souza,SP,cliente13@email.com,136.0,75.0,2024-05-15,6.0,642.94,0.0,37.8,15/05/2024,Cadeira Pro,Moveis,420.27
13,Maria Souza,SP,cliente13@email.com,344.0,44.0,2024-12-09,4.0,411.28,0.0,15.46,09/12/2024,Fone,Eletrônicos,465.36
13,Maria Souza,SP,cliente13@email.com,466.0,39.0,2025-04-10,2.0,87.78,10.0,4.99,10/04/2025,Carregador,Eletrônicos,137.9
13,Maria Souza,SP,cliente13@email.com,640.0,44.0,2025-10-01,2.0,429.95,5.0,48.73,01/10/2025,Fone,Eletrônicos,465.36
13,Maria Souza,SP,cliente13@email.com,842.0,30.0,2026-04-21,2.0,450.53,10.0,34.24,21/04/2026,Calça Jeans,Vestuário,375.12
13,Maria Souza,SP,cliente13@email.com,967.0,59.0,2026-08-24,2.0,144.59,0.0,18.3,24/08/2026,Mesa,Moveis,307.7
13,Maria Souza,SP,cliente13@email.com,1077.0,23.0,2026-12-12,0.0,384.59,0.0,12.26,12/12/2026,Mesa,Moveis,288.14
14,João Silva,RJ,cliente14@email.com,165.0,77.0,2024-06-13,4.0,288.71,0.0,33.35,13/06/2024,Feijão,Alimentos,128.87
14,João Silva,RJ,cliente14@email.com,215.0,16.0,2024-08-02,0.0,315.28,0.0,35.73,02/08/2024,Camiseta,Vestuário,220.03
14,João Silva,RJ,cliente14@email.com,586.0,9.0,2025-08-08,4.0,100.09,0.0,36.76,08/08/2025,Feijão,Alimentos,256.86
14,João Silva,RJ,cliente14@email.com,779.0,77.0,2026-02-17,3.0,182.14,10.0,15.32,17/02/2026,Feijão,Alimentos,128.87
16,João Silva,SP,cliente16@email.com,85.0,37.0,2024-03-25,3.0,503.27,5.0,4.0,25/03/2024,Notebook,Eletrônicos,156.32
16,João Silva,SP,cliente16@email.com,177.0,39.0,2024-06-25,2.0,251.04,0.0,23.39,25/06/2024,Carregador,Eletrônicos,137.9
16,João Silva,SP,cliente16@email.com,509.0,53.0,2026-05-23,1.0,157.49,10.0,27.67,23/05/2026,Carregador,Eletrônicos,72.63
16,João Silva,SP,cliente16@email.com,756.0,65.0,2026-01-25,5.0,70.18,10.0,9.34,25/01/2026,Romance,Livros,201.41
16,João Silva,SP,cliente16@email.com,854.0,16.0,2026-05-03,2.0,459.62,5.0,7.17,03/05/2026,Camiseta,Vestuário,220.03
16,João Silva,SP,cliente16@email.com,1183.0,39.0,2027-03-28,3.0,433.42,5.0,28.97,28/03/2027,Carregador,Eletrônicos,137.9
17,Carlos José,SP,cliente17@email.com,546.0,23.0,2025-06-29,2.0,552.28,5.0,47.28,29/06/2025,Mesa,Moveis,288.14
17,Carlos José,SP,cliente17@email.com,598.0,14.0,2025-08-20,2.0,332.11,5.0,37.33,20/08/2025,Mesa,Moveis,245.94
17,Carlos José,SP,cliente17@email.com,638.0,4.0,2025-08-30,2.0,87.9,10.0,7.7,30/08/2025,Camiseta,Vestuário,186.4
17,Carlos José,SP,cliente17@email.com,791.0,75.0,2026-03-01,2.0,229.0,0.0,24.32,01/03/2026,Cadeira Pro,Moveis,420.27
17,Carlos José,SP,cliente17@email.com,793.0,66.0,2026-04-02,200.0,259.95,0.0,9.95,02/04/2026,Feijão Premium,Alimentos,30.13
18,Carlos José,SP,cliente18@email.com,491.0,77.0,2025-05-05,1.0,196.47,0.0,12.2,05/05/2025,Feijão,Alimentos,128.87
18,Carlos José,SP,cliente18@email.com,739.0,65.0,2026-03-09,2.0,616.62,5.0,10.28,09/03/2026,Romance,Livros,201.41
18,Carlos José,SP,cliente18@email.com,800.0,80.0,2026-03-10,3.0,121.89,0.0,0.29,10/03/2026,Carregador,Eletrônicos,270.86
18,Carlos José,SP,cliente18@email.com,809.0,78.0,2026-03-19,2.0,123.3,0.0,36.32,19/03/2026,Cadeira,Moveis,24.22
18,Carlos José,SP,cliente18@email.com,902.0,66.0,2026-06-20,4.0,438.27,0.0,28.57,20/06/2026,Feijão Premium,Alimentos,30.13
18,Carlos José,SP,cliente18@email.com,1010.0,5.0,2026-10-06,3.0,565.54,0.0,21.05,06/10/2026,Fone Premium,Eletrônicos,373.36
19,João Silva,SP,cliente19@email.com,323.0,12.0,2024-10-19,1.0,596.95,0.0,4.74,19/10/2024,Carregador,Eletrônicos,296.99
19,João Silva,SP,cliente19@email.com,482.0,79.0,2025-04-26,3.0,200.2,0.0,44.97,26/04/2025,Smartphone,Eletrônicos,155.12
19,João Silva,SP,cliente19@email.com,658.0,75.0,2025-10-19,2.0,457.16,0.0,42.82,19/10/2025,Cadeira Pro,Moveis,420.27
19,João Silva,SP,cliente19@email.com,815.0,52.0,2026-04-24,4.0,189.47,0.0,36.71,24/04/2026,Ficção Científica,Livros,425.09
19,João Silva,SP,cliente19@email.com,1050.0,79.0,2026-10-16,5.0,423.66,0.0,19.35,16/10/2026,Smartphone,Eletrônicos,155.12
20,Carlos José,SP,cliente20@email.com,259.0,36.0,2024-09-15,1.0,577.05,0.0,44.39,15/09/2024,Ficção Científica Pro,Livros,42.3
20,Carlos José,SP,cliente20@email.com,686.0,17.0,2025-11-16,4.0,17.04,5.0,1.6,16/11/2025,Calça Jeans,Vestuário,178.29
20,Carlos José,SP,cliente20@email.com,740.0,5.0,2026-01-09,2.0,414.85,20.0,27.21,09/01/2026,Fone Premium,Eletrônicos,373.36
21,Carlos José,MG,cliente21@email.com,227.0,60.0,2024-07-15,5.0,76.52,0.0,3.48,15/07/2024,Camiseta,Vestuário,45.39
21,Carlos José,MG,cliente21@email.com,406.0,65.0,2025-04-10,2.0,324.37,5.0,5.02,10/04/2025,Romance,Livros,201.41
21,Carlos José,MG,cliente21@email.com,699.0,36.0,2025-12-29,1.0,79.13,0.0,45.57,29/12/2025,Ficção Científica Pro,Livros,42.3
21,Carlos José,MG,cliente21@email.com,1082.0,52.0,2026-12-17,1.0,497.45,20.0,33.34,17/12/2026,Ficção Científica,Livros,425.09
21,Carlos José,MG,cliente21@email.com,1084.0,35.0,2027-01-18,1.0,505.53,5.0,34.36,18/01/2027,Carregador,Eletrônicos,490.26
22,Carlos José,SP,cliente22@email.com,915.0,2.0,2026-09-01,8.0,374.32,10.0,15.31,01/09/2026,Fone Pro,Eletrônicos,249.48
22,Carlos José,SP,cliente22@email.com,1114.0,64.0,2027-03-19,4.0,323.43,10.0,19.07,19/03/2027,Fone,Eletrônicos,40.12
23,Pedro  Santos,MG,cliente23@email.com,6.0,18.0,2024-01-06,2.0,214.03,0.0,32.59,06/01/2024,Camiseta Premium,Vestuário,324.33
23,Pedro  Santos,MG,cliente23@email.com,34.0,72.0,2024-02-03,3.0,535.43,15.0,36.5,03/02/2024,Romance Premium,Livros,167.44
23,Pedro  Santos,MG,cliente23@email.com,111.0,38.0,2024-06-19,0.0,182.65,5.0,19.81,19/06/2024,Ficção Científica,Livros,99.5
23,Pedro  Santos,MG,cliente23@email.com,149.0,27.0,2024-05-28,4.0,195.65,5.0,15.55,28/05/2024,Smartphone,Eletrônicos,237.62
23,Pedro  Santos,MG,cliente23@email.com,252.0,47.0,2024-09-08,3.0,385.65,5.0,36.06,08/09/2024,Mesa,Moveis,337.22
23,Pedro  Santos,MG,cliente23@email.com,269.0,21.0,2024-09-25,4.0,399.12,15.0,27.99,25/09/2024,Cadeiranan,Livros,118.94
23,Pedro  Santos,MG,cliente23@email.com,417.0,6.0,2025-02-20,6.0,591.87,15.0,11.99,20/02/2025,Calça Jeans,Vestuário,361.87
23,Pedro  Santos,MG,cliente23@email.com,560.0,67.0,2025-07-13,100.0,726.49,10.0,42.53,13/07/2025,Mesa Pro,Moveis,443.88
23,Pedro  Santos,MG,cliente23@email.com,864.0,60.0,2026-06-12,5.0,290.49,5.0,28.24,12/06/2026,Camiseta,Vestuário,45.39
23,Pedro  Santos,MG,cliente23@email.com,1051.0,24.0,2026-11-16,4.0,86.24,0.0,25.18,16/11/2026,Calça Jeans,Vestuário,385.43
24,Ana Paula,MG,cliente24@email.com,542.0,27.0,2025-06-25,5.0,550.12,10.0,29.47,25/06/2025,Smartphone,Eletrônicos,237.62
24,Ana Paula,MG,cliente24@email.com,1172.0,70.0,2027-03-17,6.0,575.99,5.0,34.17,17/03/2027,Carregador,Eletrônicos,222.04
25,Maria Souza,ES,cliente25@email.com,187.0,53.0,2024-08-04,2.0,533.04,15.0,8.71,04/08/2024,Carregador,Eletrônicos,72.63
25,Maria Souza,ES,cliente25@email.com,303.0,77.0,2024-10-29,3.0,103.75,0.0,6.04,29/10/2024,Feijão,Alimentos,128.87
25,Maria Souza,ES,cliente25@email.com,745.0,64.0,2026-01-14,2.0,539.14,5.0,29.42,14/01/2026,Fone,Eletrônicos,40.12
26,Pedro  Santos,ES,cliente26@email.com,107.0,70.0,2024-04-16,1.0,180.69,0.0,47.73,16/04/2024,Carregador,Eletrônicos,222.04
26,Pedro  Santos,ES,cliente26@email.com,292.0,80.0,2024-10-18,4.0,102.39,0.0,38.92,18/10/2024,Carregador,Eletrônicos,270.86
26,Pedro  Santos,ES,cliente26@email.com,370.0,71.0,2025-02-03,8.0,160.01,15.0,24.56,03/02/2025,Fone,Eletrônicos,337.65
26,Pedro  Santos,ES,cliente26@email.com,543.0,71.0,2025-06-26,2.0,270.44,10.0,28.39,26/06/2025,Fone,Eletrônicos,337.65
27,Carlos José,SP,cliente27@email.com,386.0,42.0,2025-01-20,3.0,332.39,15.0,37.52,20/01/2025,Cadeira Pro,Moveis,200.37
27,Carlos José,SP,cliente27@email.com,421.0,77.0,2025-01-25,3.0,591.95,0.0,27.14,25/01/2025,Feijão,Alimentos,128.87
27,Carlos José,SP,cliente27@email.com,552.0,3.0,2025-09-03,2.0,542.03,0.0,8.04,03/09/2025,Arroz,Alimentos,93.52
27,Carlos José,SP,cliente27@email.com,563.0,50.0,2025-07-16,2.0,112.3,10.0,44.99,16/07/2025,Notebook,Eletrônicos,151.17
28,João Silva,RJ,cliente28@email.com,99.0,27.0,2024-06-07,5.0,33.65,10.0,44.81,07/06/2024,Smartphone,Eletrônicos,237.62
28,João Silva,RJ,cliente28@email.com,124.0,4.0,2024-05-03,3.0,216.18,15.0,23.5,03/05/2024,Camiseta,Vestuário,186.4
28,João Silva,RJ,cliente28@email.com,201.0,49.0,2024-07-19,6.0,411.92,0.0,4.83,19/07/2024,Cadeira,Moveis,130.81
28,João Silva,RJ,cliente28@email.com,267.0,25.0,2024-09-23,4.0,13.62,10.0,11.38,23/09/2024,Carregador,Eletrônicos,26.58
28,João Silva,RJ,cliente28@email.com,383.0,30.0,2024-12-18,0.0,459.07,0.0,44.81,18/12/2024,Calça Jeans,Vestuário,375.12
28,João Silva,RJ,cliente28@email.com,489.0,3.0,2025-05-03,5.0,112.09,5.0,20.11,03/05/2025,Arroz,Alimentos,93.52
28,João Silva,RJ,cliente28@email.com,525.0,73.0,2025-08-07,3.0,600.16,20.0,9.46,07/08/2025,Romance,Livros,81.75
28,João Silva,RJ,cliente28@email.com,913.0,43.0,2026-07-01,1.0,362.27,0.0,39.02,01/07/2026,Carregador,Eletrônicos,422.89
29,Carlos José,RJ,cliente29@email.com,31.0,14.0,2024-01-31,2.0,21.8,0.0,27.99,31/01/2024,Mesa,Moveis,245.94
29,Carlos José,RJ,cliente29@email.com,965.0,72.0,2026-08-22,3.0,357.79,0.0,32.79,22/08/2026,Romance Premium,Livros,167.44
30,Ana Paula,SP,cliente30@email.com,391.0,8.0,2025-01-25,4.0,182.31,0.0,49.79,25/01/2025,Notebook,Eletrônicos,273.56
30,Ana Paula,SP,cliente30@email.com,396.0,33.0,2025-01-30,5.0,184.72,0.0,20.71,30/01/2025,Calça Jeans,Vestuário,278.62
30,Ana Paula,SP,cliente30@email.com,857.0,41.0,2026-05-06,3.0,250.08,5.0,17.64,06/05/2026,Smartphone,Eletrônicos,189.48
30,Ana Paula,SP,cliente30@email.com,1107.0,56.0,2027-01-11,3.0,166.7,0.0,21.12,11/01/2027,Camiseta Pro,Vestuário,151.77
31,Carlos José,SP,cliente31@email.com,451.0,4.0,2025-02-24,4.0,40.5,5.0,26.35,24/02/2025,Camiseta,Vestuário,186.4
31,Carlos José,SP,cliente31@email.com,720.0,76.0,2025-12-20,4.0,85.39,15.0,34.83,20/12/2025,Cadeira,Moveis,430.9
31,Carlos José,SP,cliente31@email.com,859.0,31.0,2026-05-08,1.0,112.23,0.0,22.36,08/05/2026,Notebook Pro,Eletrônicos,476.77
31,Carlos José,SP,cliente31@email.com,892.0,74.0,2026-06-10,3.0,539.76,0.0,21.67,10/06/2026,Smartphone,Eletrônicos,491.01
31,Carlos José,SP,cliente31@email.com,1069.0,63.0,2026-12-04,1.0,24.07,20.0,34.43,04/12/2026,Romance,Livros,101.17
31,Carlos José,SP,cliente31@email.com,1180.0,38.0,2027-04-24,2.0,516.02,5.0,9.95,24/04/2027,Ficção Científica,Livros,99.5
32,João Silva,SP,cliente32@email.com,436.0,21.0,2025-03-11,6.0,400.34,0.0,42.55,11/03/2025,Cadeiranan,Livros,118.94
32,João Silva,SP,cliente32@email.com,476.0,48.0,2025-04-20,3.0,222.41,5.0,16.93,20/04/2025,Cadeira,Moveis,182.53
32,João Silva,SP,cliente32@email.com,874.0,56.0,2026-05-23,5.0,57.24,20.0,41.91,23/05/2026,Camiseta Pro,Vestuário,151.77
33,Ana Paula,RJ,cliente33@email.com,148.0,42.0,2024-05-27,4.0,118.06,0.0,24.73,27/05/2024,Cadeira Pro,Moveis,200.37
33,Ana Paula,RJ,cliente33@email.com,826.0,78.0,2026-04-05,4.0,58.01,0.0,25.38,05/04/2026,Cadeira,Moveis,24.22
33,Ana Paula,RJ,cliente33@email.com,1012.0,20.0,2026-10-08,3.0,311.27,10.0,19.4,08/10/2026,Romance,Livros,432.76
34,Carlos José,RJ,cliente34@email.com,1017.0,34.0,2026-09-13,0.0,290.39,0.0,36.48,13/09/2026,Ficção Científica,Livros,288.28
34,Carlos José,RJ,cliente34@email.com,1111.0,28.0,2027-01-15,4.0,568.87,10.0,9.35,15/01/2027,Ficção Científica Pro,Livros,143.38
35,Ana Paula,ES,cliente35@email.com,863.0,23.0,2026-05-12,3.0,369.55,0.0,1.11,12/05/2026,Mesa,Moveis,288.14
36,Maria Souza,SP,cliente36@email.com,63.0,79.0,2024-04-02,5.0,49.66,10.0,25.34,02/04/2024,Smartphone,Eletrônicos,155.12
36,Maria Souza,SP,cliente36@email.com,123.0,43.0,2024-05-02,0.0,407.98,5.0,15.32,02/05/2024,Carregador,Eletrônicos,422.89
36,Maria Souza,SP,cliente36@email.com,265.0,60.0,2024-11-20,200.0,478.85,0.0,10.7,20/11/2024,Camiseta,Vestuário,45.39
36,Maria Souza,SP,cliente36@email.com,473.0,35.0,2026-04-17,5.0,647.99,0.0,43.59,17/04/2026,Carregador,Eletrônicos,490.26
36,Maria Souza,SP,cliente36@email.com,490.0,38.0,2025-05-04,3.0,200.9,0.0,38.23,04/05/2025,Ficção Científica,Livros,99.5
36,Maria Souza,SP,cliente36@email.com,595.0,25.0,2025-08-17,1.0,69.45,5.0,12.33,17/08/2025,Carregador,Eletrônicos,26.58
36,Maria Souza,SP,cliente36@email.com,786.0,32.0,2026-02-24,5.0,672.87,0.0,4.27,24/02/2026,Notebook,Eletrônicos,168.72
36,Maria Souza,SP,cliente36@email.com,881.0,68.0,2026-05-30,2.0,130.1,10.0,13.12,30/05/2026,Cadeira,Moveis,18.67
36,Maria Souza,SP,cliente36@email.com,1048.0,25.0,2026-11-13,0.0,21.0,15.0,49.98,13/11/2026,Carregador,Eletrônicos,26.58
37,Maria Souza,MG,cliente37@email.com,484.0,75.0,2025-04-28,1.0,292.23,0.0,29.1,28/04/2025,Cadeira Pro,Moveis,420.27
37,Maria Souza,MG,cliente37@email.com,669.0,19.0,2025-10-30,0.0,365.29,0.0,43.13,30/10/2025,Romance,Livros,336.12
39,Ana Paula,RJ,cliente39@email.com,,,,,,,,,,,
40,João Silva,SP,cliente40@email.com,142.0,73.0,2024-05-21,5.0,747.92,0.0,44.99,21/05/2024,Romance,Livros,81.75
40,João Silva,SP,cliente40@email.com,256.0,53.0,2024-09-12,7.0,383.49,0.0,11.14,12/09/2024,Carregador,Eletrônicos,72.63
40,João Silva,SP,cliente40@email.com,627.0,44.0,2025-09-18,3.0,404.99,0.0,46.15,18/09/2025,Fone,Eletrônicos,465.36
41,Carlos José,SP,cliente41@email.com,430.0,74.0,2025-05-04,2.0,180.21,15.0,17.32,04/05/2025,Smartphone,Eletrônicos,491.01
41,Carlos José,SP,cliente41@email.com,527.0,36.0,2025-06-10,0.0,462.84,0.0,1.57,10/06/2025,Ficção Científica Pro,Livros,42.3
41,Carlos José,SP,cliente41@email.com,748.0,51.0,2026-01-17,2.0,696.47,20.0,41.67,17/01/2026,Romance,Livros,164.66
41,Carlos José,SP,cliente41@email.com,1006.0,4.0,2026-10-02,4.0,330.41,0.0,28.01,02/10/2026,Camiseta,Vestuário,186.4
42,Maria Souza,MG,cliente42@email.com,343.0,13.0,2024-12-08,4.0,472.75,5.0,12.94,08/12/2024,Fone,Eletrônicos,489.55
42,Maria Souza,MG,cliente42@email.com,651.0,73.0,2025-10-12,1.0,595.27,0.0,13.59,12/10/2025,Romance,Livros,81.75
42,Maria Souza,MG,cliente42@email.com,899.0,27.0,2026-06-17,3.0,688.7,0.0,46.39,17/06/2026,Smartphone,Eletrônicos,237.62
43,Maria Souza,RJ,cliente43@email.com,255.0,26.0,2024-09-11,2.0,138.96,5.0,8.35,11/09/2024,Ficção Científica,Livros,497.3
43,Maria Souza,RJ,cliente43@email.com,279.0,30.0,2024-10-05,5.0,107.06,5.0,2.29,05/10/2024,Calça Jeans,Vestuário,375.12
43,Maria Souza,RJ,cliente43@email.com,443.0,39.0,2025-03-18,2.0,494.91,10.0,36.5,18/03/2025,Carregador,Eletrônicos,137.9
43,Maria Souza,RJ,cliente43@email.com,478.0,45.0,2025-04-22,4.0,550.97,0.0,43.03,22/04/2025,Ficção Científica,Livros,39.86
43,Maria Souza,RJ,cliente43@email.com,520.0,39.0,2025-08-02,5.0,482.92,0.0,10.33,02/08/2025,Carregador,Eletrônicos,137.9
43,Maria Souza,RJ,cliente43@email.com,567.0,51.0,2025-07-20,1.0,60.73,15.0,27.16,20/07/2025,Romance,Livros,164.66
44,Carlos José,SP,cliente44@email.com,248.0,78.0,2024-09-04,2.0,10.49,0.0,27.93,04/09/2024,Cadeira,Moveis,24.22
44,Carlos José,SP,cliente44@email.com,807.0,61.0,2026-03-17,2.0,33.66,0.0,30.16,17/03/2026,Romance,Livros,7.57
45,Ana Paula,RJ,cliente45@email.com,86.0,38.0,2024-04-25,4.0,608.19,15.0,20.16,25/04/2024,Ficção Científica,Livros,99.5
45,Ana Paula,RJ,cliente45@email.com,266.0,10.0,2024-09-22,3.0,381.08,10.0,35.82,22/09/2024,Carregador,Eletrônicos,319.98
45,Ana Paula,RJ,cliente45@email.com,456.0,45.0,2025-04-30,4.0,473.68,0.0,14.8,30/04/2025,Ficção Científica,Livros,39.86
45,Ana Paula,RJ,cliente45@email.com,882.0,54.0,2026-05-31,1.0,182.52,0.0,35.2,31/05/2026,Fone,Eletrônicos,355.91
46,Maria Souza,SP,cliente46@email.com,446.0,61.0,2025-02-19,7.0,62.19,0.0,21.28,19/02/2025,Romance,Livros,7.57
46,Maria Souza,SP,cliente46@email.com,688.0,45.0,2025-11-18,1.0,147.86,10.0,17.23,18/11/2025,Ficção Científica,Livros,39.86
47,Ana Paula,SP,cliente47@email.com,213.0,3.0,2024-07-31,5.0,499.46,5.0,42.13,31/07/2024,Arroz,Alimentos,93.52
47,Ana Paula,SP,cliente47@email.com,479.0,19.0,2025-04-23,5.0,508.45,5.0,7.33,23/04/2025,Romance,Livros,336.12
47,Ana Paula,SP,cliente47@email.com,519.0,53.0,2025-06-02,2.0,363.33,0.0,34.08,02/06/2025,Carregador,Eletrônicos,72.63
47,Ana Paula,SP,cliente47@email.com,968.0,999.0,2026-07-26,4.0,518.82,0.0,20.23,26/07/2026,,,
47,Ana Paula,SP,cliente47@email.com,1122.0,56.0,2027-01-26,1.0,568.26,10.0,35.86,26/01/2027,Camiseta Pro,Vestuário,151.77
47,Ana Paula,SP,cliente47@email.com,1166.0,8.0,2027-03-11,4.0,461.83,5.0,45.44,11/03/2027,Notebook,Eletrônicos,273.56
48,Maria Souza,SP,cliente48@email.com,140.0,53.0,2024-05-19,5.0,397.96,15.0,39.21,19/05/2024,Carregador,Eletrônicos,72.63
48,Maria Souza,SP,cliente48@email.com,448.0,5.0,2025-04-22,1.0,328.81,10.0,27.84,22/04/2025,Fone Premium,Eletrônicos,373.36
48,Maria Souza,SP,cliente48@email.com,600.0,999.0,2025-08-22,4.0,193.99,0.0,31.57,22/08/2025,,,
49,Maria Souza,SP,cliente49@email.com,20.0,59.0,2024-02-19,4.0,670.53,10.0,30.81,19/02/2024,Mesa,Moveis,307.7
49,Maria Souza,SP,cliente49@email.com,141.0,58.0,2024-07-19,6.0,594.69,0.0,33.34,19/07/2024,Romance,Livros,131.82
49,Maria Souza,SP,cliente49@email.com,151.0,25.0,2024-05-30,3.0,86.05,0.0,8.09,30/05/2024,Carregador,Eletrônicos,26.58
50,Pedro  Santos,SP,cliente50@email.com,164.0,42.0,2024-08-11,3.0,458.67,5.0,26.69,11/08/2024,Cadeira Pro,Moveis,200.37
50,Pedro  Santos,SP,cliente50@email.com,325.0,38.0,2025-01-19,2.0,575.62,20.0,0.97,19/01/2025,Ficção Científica,Livros,99.5
50,Pedro  Santos,SP,cliente50@email.com,475.0,14.0,2025-04-19,3.0,572.23,0.0,16.67,19/04/2025,Mesa,Moveis,245.94
50,Pedro  Santos,SP,cliente50@email.com,776.0,14.0,2026-02-14,0.0,46.6,5.0,17.82,14/02/2026,Mesa,Moveis,245.94
50,Pedro  Santos,SP,cliente50@email.com,851.0,40.0,2026-05-30,1.0,110.87,0.0,42.51,30/05/2026,Cadeira,Moveis,245.21
