id_venda,id_produto,id_cliente,data_venda,quantidade,preco_unitario,desconto_percent,frete,data_venda_formatada,nome_produto,categoria,preco_custo,nome_cliente,estado,email
14,29,169,2024-01-14,2.0,513.49,5.0,48.97,14/01/2024,Feijão,Vestuário,442.33,Ana Paula,MG,cliente169@email.com
15,47,72,2024-01-15,3.0,322.96,10.0,15.2,15/01/2024,Mesa,Alimentos,337.22,Pedro  Santos,RJ,cliente72@email.com
16,30,139,2025-01-15,6.0,545.08,0.0,13.26,15/01/2025,Calça Jeans,Livros,375.12,Ana Paula,ES,cliente139@email.com
17,38,231,2024-01-17,2.0,269.85,5.0,6.47,17/01/2024,Ficção Científica,Alimentos,99.5,Pedro  Santos,MG,cliente231@email.com
18,27,239,2024-01-18,4.0,346.54,5.0,25.55,18/01/2024,Smartphone,Vestuário,237.62,Pedro  Santos,MG,cliente239@email.com
19,15,253,2024-01-19,2.0,357.67,0.0,7.68,19/01/2024,Carregador,Eletrônicos,453.52,Maria Souza,MG,cliente253@email.com
20,59,49,2024-02-19,4.0,670.53,10.0,30.81,19/02/2024,Mesa,Livros,307.7,Maria Souza,SP,cliente49@email.com
21,3,72,2024-01-21,4.0,224.16,0.0,7.76,21/01/2024,Arroz,Eletrônicos,93.52,Pedro  Santos,RJ,cliente72@email.com
22,10,263,2024-01-22,3.0,623.16,0.0,28.83,22/01/2024,Carregador,Eletrônicos,319.98,Carlos José,ES,cliente263@email.com
23,79,222,2025-01-22,1.0,142.56,0.0,41.31,22/01/2025,Smartphone,Casa,155.12,Carlos José,SP,cliente222@email.com
24,80,77,2024-02-23,5.0,440.12,0.0,2.13,23/02/2024,Carregador,Eletrônicos,270.86,Ana Paula,MG,cliente77@email.com
25,17,62,2024-01-25,4.0,181.88,0.0,20.99,25/01/2024,Calça Jeans,Alimentos,178.29,Maria Souza,ES,cliente62@email.com
26,11,157,2024-01-26,4.0,172.43,5.0,23.05,26/01/2024,Carregador,Vestuário,128.98,,,
27,48,294,2024-02-26,2.0,454.0,0.0,39.55,26/02/2024,Cadeira,Eletrônicos,182.53,,,
28,5,125,2024-01-28,5.0,203.53,0.0,23.4,28/01/2024,Fone Premium,Eletrônicos,373.36,João Silva,ES,cliente125@email.com
29,69,229,2024-01-29,1.0,283.39,5.0,28.38,29/01/2024,Carregador Pro,Livros,291.54,Ana Paula,ES,cliente229@email.com
30,64,161,2024-01-30,3.0,339.04,0.0,39.56,30/01/2024,Fone,Livros,40.12,Carlos José,SP,cliente161@email.com
31,14,29,2024-01-31,2.0,21.8,0.0,27.99,31/01/2024,Mesa,Vestuário,245.94,Carlos José,RJ,cliente29@email.com
32,50,114,2024-04-01,2.0,55.44,5.0,17.91,01/04/2024,Notebook,Alimentos,151.17,Ana Paula,SP,cliente114@email.com
33,26,79,2025-02-01,1.0,471.59,0.0,4.29,01/02/2025,Ficção Científica,Livros,497.3,Carlos José,MG,cliente79@email.com
34,72,23,2024-02-03,3.0,535.43,15.0,36.5,03/02/2024,Romance Premium,Vestuário,167.44,Pedro  Santos,MG,cliente23@email.com
35,69,106,2024-02-04,3.0,545.42,0.0,43.56,04/02/2024,Carregador Pro,Livros,291.54,João Silva,ES,cliente106@email.com
36,7,131,2024-02-05,3.0,432.21,0.0,48.5,05/02/2024,Camiseta,Eletrônicos,157.49,João Silva,SP,cliente131@email.com
37,16,173,2024-02-06,3.0,345.78,15.0,46.33,06/02/2024,Camiseta,Vestuário,220.03,Maria Souza,SP,cliente173@email.com
38,55,264,2024-04-07,0.0,490.4,5.0,39.87,07/04/2024,Camiseta,Eletrônicos,278.65,Ana Paula,SP,cliente264@email.com
39,78,285,2024-02-08,6.0,69.07,0.0,32.17,08/02/2024,Cadeira,Vestuário,24.22,Pedro  Santos,MG,cliente285@email.com
41,4,233,2024-02-10,3.0,333.98,5.0,21.6,10/02/2024,Camiseta,Eletrônicos,186.4,João Silva,SP,cliente233@email.com
42,48,251,2024-02-11,4.0,581.34,0.0,29.74,11/02/2024,Cadeira,Eletrônicos,182.53,Maria Souza,SP,cliente251@email.com
43,17,108,2024-02-12,2.0,537.99,0.0,17.43,12/02/2024,Calça Jeans,Alimentos,178.29,Maria Souza,ES,cliente108@email.com
44,36,276,2024-03-14,4.0,219.37,10.0,16.34,14/03/2024,Ficção Científica Pro,Vestuário,42.3,Maria Souza,MG,cliente276@email.com
45,70,180,2024-02-14,2.0,502.32,20.0,37.83,14/02/2024,Carregador,Alimentos,222.04,Carlos José,SP,cliente180@email.com
46,80,213,2024-03-16,5.0,509.97,5.0,22.7,16/03/2024,Carregador,Eletrônicos,270.86,João Silva,SP,cliente213@email.com
47,38,293,2024-02-16,4.0,49.74,15.0,10.61,16/02/2024,Ficção Científica,Alimentos,99.5,João Silva,SP,cliente293@email.com
48,62,72,2024-02-17,2.0,408.08,15.0,10.1,17/02/2024,Calça Jeans,Alimentos,315.81,Pedro  Santos,RJ,cliente72@email.com
49,48,283,2024-02-18,4.0,518.49,10.0,42.96,18/02/2024,Cadeira,Eletrônicos,182.53,Maria Souza,RJ,cliente283@email.com
50,10,175,2024-04-19,5.0,305.34,0.0,33.89,19/04/2024,Carregador,Eletrônicos,319.98,Maria Souza,RJ,cliente175@email.com
51,36,123,2025-02-19,2.0,588.73,20.0,27.3,19/02/2025,Ficção Científica Pro,Vestuário,42.3,,,
52,29,227,2024-02-21,0.0,129.94,5.0,20.05,21/02/2024,Feijão,Vestuário,442.33,Ana Paula,RJ,cliente227@email.com
53,78,83,2024-02-22,4.0,580.08,0.0,21.54,22/02/2024,Cadeira,Vestuário,24.22,Pedro  Santos,MG,cliente83@email.com
54,4,253,2025-02-22,1.0,413.22,0.0,2.87,22/02/2025,Camiseta,Eletrônicos,186.4,Maria Souza,MG,cliente253@email.com
55,44,146,2024-02-24,3.0,200.66,15.0,22.75,24/02/2024,Fone,Vestuário,465.36,Ana Paula,ES,cliente146@email.com
56,56,120,2024-02-25,4.0,587.72,0.0,39.77,25/02/2024,Camiseta Pro,Casa,151.77,Carlos José,RJ,cliente120@email.com
57,42,65,2025-02-25,1.0,300.48,0.0,19.4,25/02/2025,Cadeira Pro,Casa,200.37,João Silva,ES,cliente65@email.com
58,13,281,2024-02-27,3.0,40.22,10.0,19.18,27/02/2024,Fone,Vestuário,489.55,João Silva,MG,cliente281@email.com
59,46,283,2024-02-28,2.0,39.07,20.0,0.79,28/02/2024,Smartphone,Alimentos,108.41,Maria Souza,RJ,cliente283@email.com
60,33,106,2024-02-29,2.0,272.79,10.0,22.89,29/02/2024,Calça Jeans,Vestuário,278.62,João Silva,ES,cliente106@email.com
61,21,300,2024-03-01,3.0,209.0,0.0,1.27,01/03/2024,Cadeiranan,,118.94,João Silva,SP,cliente300@email.com
62,80,107,2024-03-02,1.0,298.78,0.0,28.52,02/03/2024,Carregador,Eletrônicos,270.86,Ana Paula,ES,cliente107@email.com
63,79,36,2024-04-02,5.0,49.66,10.0,25.34,02/04/2024,Smartphone,Casa,155.12,Maria Souza,SP,cliente36@email.com
64,57,147,2024-03-04,7.0,511.85,0.0,42.0,04/03/2024,Mesa,Casa,212.79,João Silva,SP,cliente147@email.com
65,69,262,2024-03-05,1.0,531.54,10.0,29.09,05/03/2024,Carregador Pro,Livros,291.54,João Silva,SP,cliente262@email.com
66,70,159,2024-03-06,1.0,474.48,0.0,16.17,06/03/2024,Carregador,Alimentos,222.04,,,
67,67,265,2024-03-07,0.0,517.04,0.0,25.81,07/03/2024,Mesa Pro,Livros,443.88,Carlos José,ES,cliente265@email.com
68,48,202,2024-02-07,3.0,344.45,5.0,34.99,07/02/2024,Cadeira,Eletrônicos,182.53,Maria Souza,SP,cliente202@email.com
69,76,155,2024-03-09,3.0,408.02,0.0,4.7,09/03/2024,Cadeira,Vestuário,430.9,Carlos José,SP,cliente155@email.com
70,33,13,2024-03-10,6.0,187.43,20.0,31.05,10/03/2024,Calça Jeans,Vestuário,278.62,Maria Souza,SP,cliente13@email.com
71,36,297,2024-05-10,3.0,315.41,0.0,45.83,10/05/2024,Ficção Científica Pro,Vestuário,42.3,João Silva,SP,cliente297@email.com
72,33,85,2024-03-12,4.0,713.99,0.0,14.96,12/03/2024,Calça Jeans,Vestuário,278.62,Pedro  Santos,SP,cliente85@email.com
73,31,280,2024-03-13,3.0,553.14,15.0,31.33,13/03/2024,Notebook Pro,,476.77,Carlos José,SP,cliente280@email.com
74,21,245,2024-03-14,3.0,507.3,0.0,41.07,14/03/2024,Cadeiranan,,118.94,Ana Paula,SP,cliente245@email.com
75,27,300,2024-03-15,3.0,539.15,5.0,25.59,15/03/2024,Smartphone,Vestuário,237.62,João Silva,SP,cliente300@email.com
76,72,9,2024-03-16,1.0,68.53,0.0,35.9,16/03/2024,Romance Premium,Vestuário,167.44,Ana Paula,RJ,cliente9@email.com
77,62,247,2024-03-17,1.0,394.42,0.0,15.55,17/03/2024,Calça Jeans,Alimentos,315.81,Maria Souza,MG,cliente247@email.com
78,26,278,2024-04-17,5.0,518.05,0.0,15.3,17/04/2024,Ficção Científica,Livros,497.3,Pedro  Santos,ES,cliente278@email.com
79,66,238,2024-03-19,3.0,110.01,10.0,33.38,19/03/2024,Feijão Premium,Livros,30.13,Carlos José,ES,cliente238@email.com
80,12,203,2024-03-20,3.0,207.56,10.0,35.27,20/03/2024,Carregador,Vestuário,296.99,Ana Paula,MG,cliente203@email.com
81,22,247,2024-03-21,2.0,440.29,0.0,46.85,21/03/2024,Notebook,Alimentos,252.1,Maria Souza,MG,cliente247@email.com
82,17,235,2024-03-22,0.0,449.21,0.0,11.24,22/03/2024,Calça Jeans,Alimentos,178.29,João Silva,RJ,cliente235@email.com
83,7,81,2024-05-22,4.0,214.27,0.0,23.41,22/05/2024,Camiseta,Eletrônicos,157.49,Maria Souza,MG,cliente81@email.com
84,68,13,2024-03-24,4.0,245.16,0.0,12.53,24/03/2024,Cadeira,Casa,18.67,Maria Souza,SP,cliente13@email.com
85,37,16,2024-03-25,3.0,503.27,5.0,4.0,25/03/2024,Notebook,Eletrônicos,156.32,João Silva,SP,cliente16@email.com
86,38,45,2024-04-25,4.0,608.19,15.0,20.16,25/04/2024,Ficção Científica,Alimentos,99.5,Ana Paula,RJ,cliente45@email.com
87,11,139,2024-03-27,2.0,244.7,10.0,18.7,27/03/2024,Carregador,Vestuário,128.98,Ana Paula,ES,cliente139@email.com
88,1,148,2024-03-28,4.0,122.54,0.0,13.52,28/03/2024,Romance Pro,Eletrônicos,13.95,Ana Paula,SP,cliente148@email.com
89,25,236,2024-03-29,2.0,263.15,0.0,14.85,29/03/2024,Carregador,Eletrônicos,26.58,João Silva,ES,cliente236@email.com
90,42,191,2024-03-30,1.0,506.13,0.0,18.02,30/03/2024,Cadeira Pro,Casa,200.37,Ana Paula,RJ,cliente191@email.com
91,52,101,2024-04-30,3.0,166.46,15.0,49.44,30/04/2024,Ficção Científica,Eletrônicos,425.09,Carlos José,ES,cliente101@email.com
92,24,105,2024-04-01,5.0,248.3,10.0,39.15,01/04/2024,Calça Jeans,Vestuário,385.43,Carlos José,ES,cliente105@email.com
93,53,250,2024-04-02,4.0,434.89,10.0,3.57,02/04/2024,Carregador,Casa,72.63,Maria Souza,SP,cliente250@email.com
94,56,94,2024-04-03,2.0,252.91,0.0,43.62,03/04/2024,Camiseta Pro,Casa,151.77,João Silva,ES,cliente94@email.com
95,63,220,2024-05-04,5.0,75.55,10.0,31.67,04/05/2024,Romance,Livros,101.17,Ana Paula,SP,cliente220@email.com
96,8,298,2024-04-05,4.0,141.73,15.0,44.53,05/04/2024,Notebook,Alimentos,273.56,Carlos José,SP,cliente298@email.com
97,59,133,2024-06-05,6.0,117.55,20.0,17.09,05/06/2024,Mesa,Livros,307.7,Ana Paula,RJ,cliente133@email.com
98,45,155,2024-04-07,1.0,394.62,0.0,23.23,07/04/2024,Ficção Científica,Livros,39.86,Carlos José,SP,cliente155@email.com
99,27,28,2024-06-07,3.0,33.65,10.0,44.81,07/06/2024,Smartphone,Vestuário,237.62,João Silva,RJ,cliente28@email.com
100,52,282,2024-03-10,8.0,60.18,0.0,13.63,10/03/2024,Ficção Científica,Eletrônicos,425.09,João Silva,SP,cliente282@email.com
101,18,116,2024-06-09,1.0,164.65,10.0,45.78,09/06/2024,Camiseta Premium,Alimentos,324.33,João Silva,SP,cliente116@email.com
102,16,234,2024-06-10,5.0,228.53,10.0,41.42,10/06/2024,Camiseta,Vestuário,220.03,Maria Souza,SP,cliente234@email.com
103,66,1,2024-04-12,3.0,443.43,0.0,49.03,12/04/2024,Feijão Premium,Livros,30.13,Pedro  Santos,RJ,cliente1@email.com
104,5,240,2024-04-13,4.0,59.58,15.0,16.21,13/04/2024,Fone Premium,Eletrônicos,373.36,João Silva,RJ,cliente240@email.com
105,3,58,2024-04-14,3.0,341.76,0.0,11.79,14/04/2024,Arroz,Eletrônicos,93.52,Ana Paula,SP,cliente58@email.com
106,80,183,2024-04-15,1.0,13.76,15.0,16.54,15/04/2024,Carregador,Eletrônicos,270.86,Carlos José,ES,cliente183@email.com
107,70,26,2024-04-16,1.0,180.69,0.0,47.73,16/04/2024,Carregador,Alimentos,222.04,Pedro  Santos,ES,cliente26@email.com
108,7,77,2024-04-17,3.0,332.2,10.0,16.65,17/04/2024,Camiseta,Eletrônicos,157.49,Ana Paula,MG,cliente77@email.com
109,50,217,2024-04-18,1.0,687.76,0.0,28.26,18/04/2024,Notebook,Alimentos,151.17,João Silva,ES,cliente217@email.com
110,14,262,2024-04-19,3.0,117.17,0.0,20.18,19/04/2024,Mesa,Vestuário,245.94,João Silva,SP,cliente262@email.com
111,38,23,2024-06-19,0.0,182.65,5.0,19.81,19/06/2024,Ficção Científica,Alimentos,99.5,Pedro  Santos,MG,cliente23@email.com
112,79,244,2024-04-21,3.0,282.73,5.0,9.67,21/04/2024,Smartphone,Casa,155.12,Ana Paula,RJ,cliente244@email.com
113,47,158,2024-05-22,5.0,528.02,0.0,26.85,22/05/2024,Mesa,Alimentos,337.22,Maria Souza,MG,cliente158@email.com
114,33,206,2024-06-22,2.0,488.78,5.0,42.47,22/06/2024,Calça Jeans,Vestuário,278.62,Ana Paula,RJ,cliente206@email.com
115,43,87,2024-03-25,3.0,460.14,10.0,2.47,25/03/2024,Carregador,Vestuário,422.89,Maria Souza,SP,cliente87@email.com
116,29,267,2024-04-25,3.0,324.36,0.0,44.46,25/04/2024,Feijão,Vestuário,442.33,Carlos José,ES,cliente267@email.com
117,57,134,2024-06-25,1.0,199.28,20.0,33.27,25/06/2024,Mesa,Casa,212.79,Carlos José,SP,cliente134@email.com
118,5,267,2024-03-28,3.0,180.0,5.0,30.84,28/03/2024,Fone Premium,Eletrônicos,373.36,Carlos José,ES,cliente267@email.com
119,60,268,2025-04-28,4.0,569.85,10.0,31.3,28/04/2025,Camiseta,Eletrônicos,45.39,Carlos José,SP,cliente268@email.com
120,70,53,2024-04-29,2.0,353.47,15.0,14.81,29/04/2024,Carregador,Alimentos,222.04,Carlos José,RJ,cliente53@email.com
121,2,99,2024-04-30,0.0,257.45,5.0,20.76,30/04/2024,Fone Pro,Eletrônicos,249.48,Carlos José,RJ,cliente99@email.com
122,70,247,2024-05-01,5.0,185.4,0.0,39.96,01/05/2024,Carregador,Alimentos,222.04,Maria Souza,MG,cliente247@email.com
123,43,36,2024-05-02,0.0,407.98,5.0,15.32,02/05/2024,Carregador,Vestuário,422.89,Maria Souza,SP,cliente36@email.com
124,4,28,2024-05-03,3.0,216.18,15.0,23.5,03/05/2024,Camiseta,Eletrônicos,186.4,João Silva,RJ,cliente28@email.com
125,56,220,2024-06-03,3.0,183.63,5.0,0.98,03/06/2024,Camiseta Pro,Casa,151.77,Ana Paula,SP,cliente220@email.com
126,59,102,2024-07-04,3.0,291.0,10.0,36.68,04/07/2024,Mesa,Livros,307.7,Ana Paula,SP,cliente102@email.com
127,9,263,2024-05-06,4.0,21.78,0.0,20.89,06/05/2024,Feijão,Alimentos,256.86,Carlos José,ES,cliente263@email.com
128,3,271,2024-07-06,3.0,163.01,0.0,26.27,06/07/2024,Arroz,Eletrônicos,93.52,Maria Souza,MG,cliente271@email.com
129,48,224,2024-05-08,4.0,49.7,5.0,5.73,08/05/2024,Cadeira,Eletrônicos,182.53,Carlos José,SP,cliente224@email.com
130,43,139,2024-06-08,2.0,581.64,10.0,49.59,08/06/2024,Carregador,Vestuário,422.89,Ana Paula,ES,cliente139@email.com
131,1,280,2025-05-10,2.0,11.37,0.0,15.12,10/05/2025,Romance Pro,Eletrônicos,13.95,Carlos José,SP,cliente280@email.com
132,57,286,2024-05-11,2.0,264.99,0.0,31.75,11/05/2024,Mesa,Casa,212.79,Carlos José,SP,cliente286@email.com
133,53,250,2024-05-12,3.0,169.59,15.0,29.06,12/05/2024,Carregador,Casa,72.63,Maria Souza,SP,cliente250@email.com
134,16,78,2024-07-12,4.0,194.56,0.0,39.25,12/07/2024,Camiseta,Vestuário,220.03,Carlos José,RJ,cliente78@email.com
135,51,297,2024-05-14,5.0,161.8,0.0,14.69,14/05/2024,Romance,Eletrônicos,164.66,João Silva,SP,cliente297@email.com
136,75,13,2024-05-15,6.0,642.94,0.0,37.8,15/05/2024,Cadeira Pro,Eletrônicos,420.27,Maria Souza,SP,cliente13@email.com
137,55,82,2024-07-15,2.0,485.76,0.0,19.13,15/07/2024,Camiseta,Eletrônicos,278.65,Carlos José,SP,cliente82@email.com
138,1,9,2024-05-17,2.0,32.27,0.0,20.56,17/05/2024,Romance Pro,Eletrônicos,13.95,Ana Paula,RJ,cliente9@email.com
139,28,213,2024-06-17,2.0,234.61,0.0,33.64,17/06/2024,Ficção Científica Pro,Casa,143.38,João Silva,SP,cliente213@email.com
140,53,48,2024-05-19,5.0,397.96,15.0,39.21,19/05/2024,Carregador,Casa,72.63,Maria Souza,SP,cliente48@email.com
141,58,49,2024-07-19,6.0,594.69,0.0,33.34,19/07/2024,Romance,Alimentos,131.82,Maria Souza,SP,cliente49@email.com
142,73,40,2024-05-21,5.0,747.92,0.0,44.99,21/05/2024,Romance,Casa,81.75,João Silva,SP,cliente40@email.com
143,60,280,2024-04-22,0.0,122.08,5.0,14.26,22/04/2024,Camiseta,Eletrônicos,45.39,Carlos José,SP,cliente280@email.com
144,59,226,2024-06-22,0.0,335.39,0.0,45.03,22/06/2024,Mesa,Livros,307.7,Pedro  Santos,ES,cliente226@email.com
145,22,108,2024-05-24,2.0,396.32,0.0,6.54,24/05/2024,Notebook,Alimentos,252.1,Maria Souza,ES,cliente108@email.com
146,8,245,2024-05-25,0.0,430.53,0.0,32.98,25/05/2024,Notebook,Alimentos,273.56,Ana Paula,SP,cliente245@email.com
147,49,255,2024-04-26,5.0,78.43,5.0,27.38,26/04/2024,Cadeira,Vestuário,130.81,Ana Paula,MG,cliente255@email.com
148,42,33,2024-05-27,4.0,118.06,0.0,24.73,27/05/2024,Cadeira Pro,Casa,200.37,Ana Paula,RJ,cliente33@email.com
149,27,23,2024-05-28,4.0,195.65,5.0,15.55,28/05/2024,Smartphone,Vestuário,237.62,Pedro  Santos,MG,cliente23@email.com
150,39,54,2024-05-29,0.0,14.28,0.0,25.19,29/05/2024,Carregador,Livros,137.9,Carlos José,SP,cliente54@email.com
151,25,49,2024-05-30,3.0,86.05,0.0,8.09,30/05/2024,Carregador,Eletrônicos,26.58,Maria Souza,SP,cliente49@email.com
152,38,78,2024-06-30,3.0,351.27,0.0,18.47,30/06/2024,Ficção Científica,Alimentos,99.5,Carlos José,RJ,cliente78@email.com
153,24,122,2024-06-01,4.0,333.14,20.0,4.93,01/06/2024,Calça Jeans,Vestuário,385.43,Pedro  Santos,MG,cliente122@email.com
154,24,90,2024-06-02,1.0,433.12,10.0,28.59,02/06/2024,Calça Jeans,Vestuário,385.43,Maria Souza,SP,cliente90@email.com
155,60,193,2024-06-03,1.0,282.83,20.0,4.79,03/06/2024,Camiseta,Eletrônicos,45.39,Carlos José,SP,cliente193@email.com
156,50,244,2024-06-04,4.0,276.38,0.0,8.02,04/06/2024,Notebook,Alimentos,151.17,Ana Paula,RJ,cliente244@email.com
157,66,149,2024-06-05,3.0,366.11,0.0,4.27,05/06/2024,Feijão Premium,Livros,30.13,Pedro  Santos,ES,cliente149@email.com
158,14,146,2024-06-06,6.0,422.26,0.0,19.07,06/06/2024,Mesa,Vestuário,245.94,Ana Paula,ES,cliente146@email.com
159,53,141,2025-06-07,2.0,541.49,0.0,42.1,07/06/2025,Carregador,Casa,72.63,Pedro  Santos,ES,cliente141@email.com
160,32,286,2024-06-08,2.0,686.29,10.0,45.34,08/06/2024,Notebook,Eletrônicos,168.72,Carlos José,SP,cliente286@email.com
161,48,111,2024-06-09,3.0,528.99,0.0,3.59,09/06/2024,Cadeira,Eletrônicos,182.53,Pedro  Santos,SP,cliente111@email.com
162,39,108,2024-08-09,5.0,316.85,0.0,31.73,09/08/2024,Carregador,Livros,137.9,Maria Souza,ES,cliente108@email.com
163,40,281,2024-06-11,5.0,37.75,5.0,34.22,11/06/2024,Cadeira,Vestuário,245.21,João Silva,MG,cliente281@email.com
164,42,50,2024-08-11,3.0,458.67,5.0,26.69,11/08/2024,Cadeira Pro,Casa,200.37,Pedro  Santos,SP,cliente50@email.com
165,77,14,2024-06-13,4.0,288.71,0.0,33.35,13/06/2024,Feijão,Vestuário,128.87,João Silva,RJ,cliente14@email.com
166,76,134,2024-06-14,6.0,213.28,0.0,11.68,14/06/2024,Cadeira,Vestuário,430.9,Carlos José,SP,cliente134@email.com
167,8,76,2024-06-15,1.0,149.63,10.0,24.48,15/06/2024,Notebook,Alimentos,273.56,Pedro  Santos,MG,cliente76@email.com
168,79,84,2024-06-16,4.0,548.34,0.0,19.54,16/06/2024,Smartphone,Casa,155.12,Maria Souza,ES,cliente84@email.com
169,26,158,2024-07-17,2.0,315.09,0.0,4.49,17/07/2024,Ficção Científica,Livros,497.3,Maria Souza,MG,cliente158@email.com
170,12,286,2024-06-18,1.0,445.71,5.0,31.28,18/06/2024,Carregador,Vestuário,296.99,Carlos José,SP,cliente286@email.com
171,43,94,2024-06-19,6.0,417.2,10.0,24.76,19/06/2024,Carregador,Vestuário,422.89,João Silva,ES,cliente94@email.com
172,51,297,2024-06-20,4.0,562.76,0.0,13.76,20/06/2024,Romance,Eletrônicos,164.66,João Silva,SP,cliente297@email.com
173,63,94,2024-06-21,2.0,298.54,10.0,23.68,21/06/2024,Romance,Livros,101.17,João Silva,ES,cliente94@email.com
174,49,57,2024-07-22,3.0,361.95,0.0,38.76,22/07/2024,Cadeira,Vestuário,130.81,João Silva,ES,cliente57@email.com
175,27,164,2024-06-23,7.0,459.14,5.0,40.08,23/06/2024,Smartphone,Vestuário,237.62,Maria Souza,RJ,cliente164@email.com
176,9,98,2024-06-24,2.0,646.43,20.0,32.48,24/06/2024,Feijão,Alimentos,256.86,Maria Souza,SP,cliente98@email.com
177,39,16,2024-06-25,2.0,251.04,0.0,23.39,25/06/2024,Carregador,Livros,137.9,João Silva,SP,cliente16@email.com
178,65,78,2024-06-26,3.0,206.88,5.0,28.79,26/06/2024,Romance,Vestuário,201.41,Carlos José,RJ,cliente78@email.com
179,71,72,2024-08-26,0.0,654.84,15.0,19.25,26/08/2024,Fone,Alimentos,337.65,Pedro  Santos,RJ,cliente72@email.com
180,71,270,2024-06-28,4.0,290.56,0.0,6.33,28/06/2024,Fone,Alimentos,337.65,Carlos José,MG,cliente270@email.com
181,7,287,2024-07-29,6.0,247.36,15.0,19.28,29/07/2024,Camiseta,Eletrônicos,157.49,Maria Souza,MG,cliente287@email.com
183,80,68,2024-07-01,1.0,316.76,5.0,29.94,01/07/2024,Carregador,Eletrônicos,270.86,Pedro  Santos,MG,cliente68@email.com
184,67,193,2024-06-02,3.0,278.92,20.0,46.79,02/06/2024,Mesa Pro,Livros,443.88,Carlos José,SP,cliente193@email.com
185,10,55,2024-07-03,1.0,92.24,15.0,38.87,03/07/2024,Carregador,Eletrônicos,319.98,Ana Paula,MG,cliente55@email.com
186,71,168,2024-07-04,2.0,524.16,0.0,7.6,04/07/2024,Fone,Alimentos,337.65,Maria Souza,SP,cliente168@email.com
187,53,25,2024-08-04,2.0,533.04,15.0,8.71,04/08/2024,Carregador,Casa,72.63,Maria Souza,ES,cliente25@email.com
188,57,131,2024-07-06,3.0,590.35,0.0,5.02,06/07/2024,Mesa,Casa,212.79,João Silva,SP,cliente131@email.com
189,27,102,2024-09-05,4.0,160.87,15.0,36.91,05/09/2024,Smartphone,Vestuário,237.62,Ana Paula,SP,cliente102@email.com
190,54,282,2024-07-08,7.0,283.93,10.0,35.31,08/07/2024,Fone,Vestuário,355.91,João Silva,SP,cliente282@email.com
191,4,296,2025-07-09,1.0,499.07,0.0,49.32,09/07/2025,Camiseta,Eletrônicos,186.4,Pedro  Santos,SP,cliente296@email.com
192,23,294,2024-08-09,5.0,496.43,10.0,26.1,09/08/2024,Mesa,Alimentos,288.14,,,
193,48,263,2024-07-11,4.0,557.5,5.0,41.32,11/07/2024,Cadeira,Eletrônicos,182.53,Carlos José,ES,cliente263@email.com
194,42,120,2025-07-12,4.0,316.17,5.0,28.82,12/07/2025,Cadeira Pro,Casa,200.37,Carlos José,RJ,cliente120@email.com
195,3,231,2024-07-13,5.0,483.61,0.0,43.7,13/07/2024,Arroz,Eletrônicos,93.52,Pedro  Santos,MG,cliente231@email.com
196,3,291,2024-06-14,4.0,344.84,0.0,36.05,14/06/2024,Arroz,Eletrônicos,93.52,João Silva,SP,cliente291@email.com
197,28,161,2024-07-15,5.0,492.84,15.0,32.14,15/07/2024,Ficção Científica Pro,Casa,143.38,Carlos José,SP,cliente161@email.com
198,63,161,2024-07-16,5.0,604.42,0.0,28.26,16/07/2024,Romance,Livros,101.17,Carlos José,SP,cliente161@email.com
